what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1369731738855
activated,editor,org.eclipse.ui.browser,3.3.1.r36_20101216,"org.eclipse.ui.browser.editor",1369731738952
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1369731753376
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1369731754386
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1369731757016
activated,editor,org.eclipse.ui.browser,3.3.1.r36_20101216,"org.eclipse.ui.browser.editor",1369731758085
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1369731758518
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1369731758737
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1369731760142
activated,editor,org.eclipse.ui.browser,3.3.1.r36_20101216,"org.eclipse.ui.browser.editor",1369731760951
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1369731761272
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1369731761554
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1369731764110
activated,editor,org.eclipse.ui.browser,3.3.1.r36_20101216,"org.eclipse.ui.browser.editor",1369731765078
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1369731769031
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1369731770483
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1369731771011
activated,editor,org.eclipse.ui.browser,3.3.1.r36_20101216,"org.eclipse.ui.browser.editor",1369731772130
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1369731774983
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1369731776016
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1369731780665
activated,editor,org.eclipse.ui.browser,3.3.1.r36_20101216,"org.eclipse.ui.browser.editor",1369731786674
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1369731787118
activated,editor,org.eclipse.ui.browser,3.3.1.r36_20101216,"org.eclipse.ui.browser.editor",1369731788851
activated,editor,org.eclipse.jst.jsp.ui,1.1.503.v201101262228,"org.eclipse.jst.jsp.core.jspsource.source",1369731788925
closed,editor,org.eclipse.ui.browser,3.3.1.r36_20101216,"org.eclipse.ui.browser.editor",1369731788925
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1369731790029
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1369731791042
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1369731793648
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1369731795280
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1369731799598
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1369731801023
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1369731806391
opened,editor,org.eclipse.jst.jsp.ui,1.1.503.v201101262228,"org.eclipse.jst.jsp.core.jspsource.source",1369731813135
activated,editor,org.eclipse.jst.jsp.ui,1.1.503.v201101262228,"org.eclipse.jst.jsp.core.jspsource.source",1369731813254
activated,editor,org.eclipse.jst.jsp.ui,1.1.503.v201101262228,"org.eclipse.jst.jsp.core.jspsource.source",1369731819329
closed,editor,org.eclipse.jst.jsp.ui,1.1.503.v201101262228,"org.eclipse.jst.jsp.core.jspsource.source",1369731819329
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1369731820550
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1369731897033
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1369731897842
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1369731911363
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1369731984439
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1369731985121
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1369731986653
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1369731990845
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1369731992884
executed,command,org.eclipse.wst.server.ui,1.1.207.v20110119,"org.eclipse.wst.server.launchShortcut.run",1369731992913
opened,editor,org.eclipse.ui.browser,3.3.1.r36_20101216,"org.eclipse.ui.browser.editor",1369731993081
activated,editor,org.eclipse.ui.browser,3.3.1.r36_20101216,"org.eclipse.ui.browser.editor",1369731993156
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1369731993637
